partition,family,event,incident_degree,query_identity,query_global_sequence_index,positive_global_sequence_index,positive_view_kind,hard_negative_identity,hard_negative_global_sequence_index,hard_negative_objective_profile_distance,query_profile_observations
fit,S03,junction,3,S03_flat_unicyclic_small_C06:node:node_0014,31060,31107,different_physical_edge,S01_flat_tree_small_C04:node:node_0010,4078,0.008959959440035945,5
fit,S03,junction,3,S03_flat_unicyclic_small_C06:node:node_0021,31240,31280,different_physical_edge,S07_flat_loop_rich_C01:node:node_0065,89502,0.00950574494447047,5
fit,S03,junction,3,S03_flat_unicyclic_small_C06:node:node_0032,31584,31668,different_physical_edge,S05_flat_branch_medium_C06:node:node_0021,60148,0.00734629275860976,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C06:node:node_0034,31713,31708,same_edge_reverse_view,S09_flat_complex_C04:node:node_0035,155834,0.005002812922107269,5
fit,S03,terminal,1,S03_flat_unicyclic_small_C06:node:node_0042,31826,31838,same_edge_reverse_view,S01_flat_tree_small_C05:node:node_0006,4903,0.005971895946841325,5
fit,S03,junction,3,S03_flat_unicyclic_small_C06:node:node_0044,31798,31789,different_physical_edge,S05_flat_branch_medium_C03:node:node_0079,54970,0.004869486495073903,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C07:node:node_0000,32270,32264,same_edge_reverse_view,S09_flat_complex_C07:node:node_0056,168096,0.005893832881972653,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C07:node:node_0007,32391,32378,same_edge_reverse_view,S03_flat_unicyclic_small_C08:node:node_0036,33928,0.004456441804348838,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C07:node:node_0010,32462,32442,same_edge_reverse_view,S07_flat_loop_rich_C08:node:node_0018,109924,0.010027667550654675,5
selection,S03,junction,3,S03_flat_unicyclic_small_C07:node:node_0019,32588,32610,different_physical_edge,S08_3d_loop_rich_C07:node:node_0035,134182,0.028474332741360672,5
selection,S03,junction,3,S03_flat_unicyclic_small_C07:node:node_0022,32660,32740,different_physical_edge,S05_flat_branch_medium_C07:node:node_0054,63649,0.011630166941089272,5
selection,S03,junction,3,S03_flat_unicyclic_small_C07:node:node_0029,32778,32845,different_physical_edge,S09_flat_complex_C07:node:node_0094,168908,0.02991113725152322,5
selection,S03,junction,3,S03_flat_unicyclic_small_C07:node:node_0035,32940,32930,different_physical_edge,S07_flat_loop_rich_C07:node:node_0055,107842,0.0548312923770226,5
selection,S03,junction,3,S03_flat_unicyclic_small_C07:node:node_0040,33004,32991,different_physical_edge,S09_flat_complex_C07:node:node_0093,168884,0.027449155190303626,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C07:node:node_0046,33054,33060,same_edge_reverse_view,S09_flat_complex_C08:node:node_0061,171952,0.02129484859042727,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C07:node:node_0049,33038,33046,same_edge_reverse_view,S09_flat_complex_C08:node:node_0061,171952,0.01895456292817719,5
selection,S03,junction,3,S03_flat_unicyclic_small_C08:node:node_0019,33558,33578,different_physical_edge,S01_flat_tree_small_C08:node:node_0027,8594,0.030541642629655603,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C08:node:node_0020,33596,33602,same_edge_reverse_view,S07_flat_loop_rich_C08:node:node_0122,111923,0.01169835078476525,5
selection,S03,junction,3,S03_flat_unicyclic_small_C08:node:node_0021,33528,33644,different_physical_edge,S07_flat_loop_rich_C07:node:node_0032,107342,0.007905872134265702,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C08:node:node_0036,33928,33937,same_edge_reverse_view,S03_flat_unicyclic_small_C07:node:node_0007,32391,0.004456441804348838,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C08:node:node_0037,34016,34004,same_edge_reverse_view,S09_flat_complex_C08:node:node_0102,173219,0.009745344658435233,5
selection,S03,junction,4,S03_flat_unicyclic_small_C08:node:node_0047,34148,34164,different_physical_edge,S07_flat_loop_rich_C07:node:node_0080,108092,0.11586789440299666,5
selection,S03,terminal,1,S03_flat_unicyclic_small_C08:node:node_0055,34436,34420,same_edge_reverse_view,S05_flat_branch_medium_C08:node:node_0070,65707,0.00853714928205267,5
fit,S04,junction,3,S04_3d_unicyclic_small_C01:node:node_0009,36178,36216,different_physical_edge,S10_3d_complex_C05:node:node_0099,195095,0.019115067574418325,5
fit,S04,junction,3,S04_3d_unicyclic_small_C01:node:node_0013,36236,36246,different_physical_edge,S10_3d_complex_C03:node:node_0123,187622,0.02290743568446698,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C01:node:node_0016,36306,36315,same_edge_reverse_view,S10_3d_complex_C05:node:node_0104,195362,0.009549534065068201,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C01:node:node_0049,36868,36860,same_edge_reverse_view,S02_3d_tree_small_C06:node:node_0043,18448,0.015182033574400367,5
fit,S04,junction,3,S04_3d_unicyclic_small_C01:node:node_0053,36794,36876,different_physical_edge,S10_3d_complex_C02:node:node_0113,183942,0.018603303466425067,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C01:node:node_0074,37290,37303,same_edge_reverse_view,S02_3d_tree_small_C02:node:node_0050,13310,0.015890098008158663,5
fit,S04,junction,3,S04_3d_unicyclic_small_C01:node:node_0076,37344,37382,different_physical_edge,S08_3d_loop_rich_C06:node:node_0060,130914,0.011700931878520941,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C02:node:node_0000,37464,37458,same_edge_reverse_view,S04_3d_unicyclic_small_C06:node:node_0062,44097,0.007642864517987309,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C02:node:node_0001,37484,37466,same_edge_reverse_view,S08_3d_loop_rich_C01:node:node_0097,116827,0.05524637802851174,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C02:node:node_0002,37504,37505,same_identity_distinct_observation,S06_3d_branch_medium_C06:node:node_0074,81320,0.015857718956193492,5
fit,S04,junction,3,S04_3d_unicyclic_small_C02:node:node_0009,37510,37665,different_physical_edge,S03_flat_unicyclic_small_C02:node:node_0032,25014,0.05476390604329497,5
fit,S04,junction,3,S04_3d_unicyclic_small_C02:node:node_0012,37492,37556,different_physical_edge,S10_3d_complex_C02:node:node_0095,183602,0.017738068169710033,5
fit,S04,junction,3,S04_3d_unicyclic_small_C02:node:node_0017,37470,37836,different_physical_edge,S02_3d_tree_small_C01:node:node_0048,11636,0.025768961633938436,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C02:node:node_0024,37938,37928,same_edge_reverse_view,S08_3d_loop_rich_C04:node:node_0032,124593,0.012772985499426383,5
fit,S04,junction,3,S04_3d_unicyclic_small_C02:node:node_0038,38114,38193,different_physical_edge,S08_3d_loop_rich_C06:node:node_0092,131906,0.010081766244737953,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C02:node:node_0046,38308,38302,same_edge_reverse_view,S07_flat_loop_rich_C03:node:node_0022,95281,0.020455027393984204,5
fit,S04,junction,3,S04_3d_unicyclic_small_C02:node:node_0060,38503,38519,different_physical_edge,S10_3d_complex_C05:node:node_0069,194196,0.05507803707735506,5
fit,S04,junction,3,S04_3d_unicyclic_small_C03:node:node_0000,38644,38690,different_physical_edge,S08_3d_loop_rich_C05:node:node_0028,127712,0.018847864736138857,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C03:node:node_0005,38888,38902,same_edge_reverse_view,S08_3d_loop_rich_C02:node:node_0124,120928,0.011188904315160645,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C03:node:node_0015,39321,39310,same_edge_reverse_view,S10_3d_complex_C01:node:node_0136,180741,0.006317050264624774,5
fit,S04,junction,3,S04_3d_unicyclic_small_C03:node:node_0019,38991,39264,different_physical_edge,S08_3d_loop_rich_C02:node:node_0072,119794,0.006387038194789626,5
fit,S04,junction,3,S04_3d_unicyclic_small_C03:node:node_0022,39332,39524,different_physical_edge,S08_3d_loop_rich_C06:node:node_0079,131764,0.017536823900344695,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C03:node:node_0027,39462,39474,same_edge_reverse_view,S06_3d_branch_medium_C04:node:node_0084,76632,0.02015714640274725,5
fit,S04,junction,3,S04_3d_unicyclic_small_C03:node:node_0036,39564,39736,different_physical_edge,S06_3d_branch_medium_C04:node:node_0088,76808,0.017639952910591422,5
fit,S04,junction,3,S04_3d_unicyclic_small_C03:node:node_0045,39849,40102,different_physical_edge,S04_3d_unicyclic_small_C05:node:node_0012,41782,0.03539178426117224,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C03:node:node_0053,40270,40284,same_edge_reverse_view,S04_3d_unicyclic_small_C06:node:node_0009,42907,0.02626014422516448,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C03:node:node_0058,40362,40374,same_edge_reverse_view,S08_3d_loop_rich_C06:node:node_0088,132177,0.02346847884217589,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C04:node:node_0009,40576,40570,same_edge_reverse_view,S03_flat_unicyclic_small_C01:node:node_0019,22995,0.007701390651215561,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C04:node:node_0010,40528,40537,same_edge_reverse_view,S08_3d_loop_rich_C02:node:node_0017,118584,0.010421077373189768,5
fit,S04,junction,3,S04_3d_unicyclic_small_C04:node:node_0014,40586,40628,different_physical_edge,S09_flat_complex_C03:node:node_0143,154440,0.03569318968296133,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C04:node:node_0026,40748,40757,same_edge_reverse_view,S09_flat_complex_C04:node:node_0092,157588,0.011207450508108683,5
fit,S04,junction,3,S04_3d_unicyclic_small_C04:node:node_0031,40870,40837,different_physical_edge,S02_3d_tree_small_C02:node:node_0022,12706,0.02230959593423251,5
fit,S04,junction,3,S04_3d_unicyclic_small_C04:node:node_0040,40986,41008,different_physical_edge,S05_flat_branch_medium_C06:node:node_0068,61292,0.01474614638504977,5
fit,S04,junction,3,S04_3d_unicyclic_small_C04:node:node_0042,40952,41080,different_physical_edge,S08_3d_loop_rich_C01:node:node_0019,114930,0.011280130555588148,5
fit,S04,junction,3,S04_3d_unicyclic_small_C04:node:node_0060,41452,41472,different_physical_edge,S04_3d_unicyclic_small_C06:node:node_0051,43766,0.04553791722132385,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C04:node:node_0064,41593,41607,same_edge_reverse_view,S02_3d_tree_small_C03:node:node_0056,14992,0.017311767521501577,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C05:node:node_0006,41746,41736,same_edge_reverse_view,S02_3d_tree_small_C04:node:node_0029,15332,0.007838163703625108,5
fit,S04,junction,3,S04_3d_unicyclic_small_C05:node:node_0012,41782,41821,different_physical_edge,S09_flat_complex_C05:node:node_0088,160751,0.018680199865158318,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C05:node:node_0015,41846,41851,same_edge_reverse_view,S02_3d_tree_small_C06:node:node_0043,18448,0.009369814843347509,5
fit,S04,junction,3,S04_3d_unicyclic_small_C05:node:node_0017,41856,41890,different_physical_edge,S09_flat_complex_C05:node:node_0026,159144,0.013079975269888433,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C05:node:node_0019,41950,41942,same_edge_reverse_view,S06_3d_branch_medium_C04:node:node_0084,76632,0.007751795215079938,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C05:node:node_0029,42143,42143,singleton_circular_shift_augmentation,S07_flat_loop_rich_C06:node:node_0016,103724,0.013083306032350374,5
fit,S04,junction,3,S04_3d_unicyclic_small_C05:node:node_0031,42044,42132,different_physical_edge,S08_3d_loop_rich_C04:node:node_0087,125871,0.08426795309907248,5
fit,S04,junction,3,S04_3d_unicyclic_small_C05:node:node_0036,42149,42202,different_physical_edge,S06_3d_branch_medium_C04:node:node_0045,75628,0.012742413013966749,5
fit,S04,junction,3,S04_3d_unicyclic_small_C05:node:node_0038,42213,42330,different_physical_edge,S02_3d_tree_small_C03:node:node_0028,14242,0.01774529010143287,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C05:node:node_0059,42698,42705,same_edge_reverse_view,S04_3d_unicyclic_small_C06:node:node_0031,43457,0.013781885063581066,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C06:node:node_0000,42722,42712,same_edge_reverse_view,S03_flat_unicyclic_small_C03:node:node_0004,26212,0.006206963411418627,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C06:node:node_0009,42907,42896,same_edge_reverse_view,S06_3d_branch_medium_C03:node:node_0031,72878,0.010466169453327085,5
fit,S04,junction,3,S04_3d_unicyclic_small_C06:node:node_0017,42954,43130,different_physical_edge,S05_flat_branch_medium_C05:node:node_0041,58592,0.008456676943238919,5
fit,S04,junction,3,S04_3d_unicyclic_small_C06:node:node_0030,43370,43420,different_physical_edge,S10_3d_complex_C04:node:node_0043,189462,0.030854726262052008,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C06:node:node_0031,43457,43450,same_edge_reverse_view,S08_3d_loop_rich_C06:node:node_0006,130043,0.011009630485722842,5
fit,S04,junction,3,S04_3d_unicyclic_small_C06:node:node_0043,43384,43576,different_physical_edge,S09_flat_complex_C04:node:node_0114,157981,0.014956449562189568,5
fit,S04,junction,3,S04_3d_unicyclic_small_C06:node:node_0051,43766,43791,different_physical_edge,S10_3d_complex_C06:node:node_0130,199222,0.03373698060754698,5
fit,S04,terminal,1,S04_3d_unicyclic_small_C06:node:node_0062,44097,44098,same_identity_distinct_observation,S04_3d_unicyclic_small_C02:node:node_0000,37464,0.007642864517987309,5
fit,S04,junction,3,S04_3d_unicyclic_small_C06:node:node_0063,44036,44084,different_physical_edge,S10_3d_complex_C01:node:node_0097,179996,0.10561427474964453,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C07:node:node_0000,44131,44120,same_edge_reverse_view,S06_3d_branch_medium_C08:node:node_0053,84987,0.02169991004369084,5
selection,S04,junction,3,S04_3d_unicyclic_small_C07:node:node_0007,44284,44306,different_physical_edge,S10_3d_complex_C08:node:node_0061,205823,0.019826377416478986,5
selection,S04,junction,3,S04_3d_unicyclic_small_C07:node:node_0010,44352,44402,different_physical_edge,S10_3d_complex_C08:node:node_0052,205578,0.02165112216336884,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C07:node:node_0012,44299,44300,same_identity_distinct_observation,S08_3d_loop_rich_C08:node:node_0075,138586,0.0647257686214326,5
selection,S04,junction,3,S04_3d_unicyclic_small_C07:node:node_0031,44632,44646,different_physical_edge,S10_3d_complex_C07:node:node_0120,202932,0.0444950279076424,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C07:node:node_0032,44792,44784,same_edge_reverse_view,S10_3d_complex_C08:node:node_0163,208198,0.016772268556820975,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C07:node:node_0043,44985,44982,same_edge_reverse_view,S10_3d_complex_C07:node:node_0144,203421,0.017526157625170388,3
selection,S04,junction,3,S04_3d_unicyclic_small_C07:node:node_0049,45062,45085,different_physical_edge,S10_3d_complex_C07:node:node_0158,204042,0.02708885657557126,5
selection,S04,junction,3,S04_3d_unicyclic_small_C07:node:node_0058,45146,45162,different_physical_edge,S07_flat_loop_rich_C07:node:node_0053,107568,0.05536471488717285,5
selection,S04,junction,3,S04_3d_unicyclic_small_C08:node:node_0007,45490,45570,different_physical_edge,S03_flat_unicyclic_small_C08:node:node_0021,33528,0.01577749922055544,5
selection,S04,junction,3,S04_3d_unicyclic_small_C08:node:node_0019,45696,45804,different_physical_edge,S09_flat_complex_C07:node:node_0018,167040,0.020314956659426738,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C08:node:node_0022,45725,45739,same_edge_reverse_view,S10_3d_complex_C07:node:node_0161,204130,0.015256094634316602,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C08:node:node_0024,45898,45912,same_edge_reverse_view,S02_3d_tree_small_C08:node:node_0002,19892,0.015438856252247057,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C08:node:node_0034,46288,46278,same_edge_reverse_view,S01_flat_tree_small_C07:node:node_0023,7663,0.012875191925972407,5
selection,S04,junction,3,S04_3d_unicyclic_small_C08:node:node_0039,46214,46298,different_physical_edge,S10_3d_complex_C07:node:node_0076,201692,0.041406834817461206,5
selection,S04,junction,3,S04_3d_unicyclic_small_C08:node:node_0048,46544,46565,different_physical_edge,S06_3d_branch_medium_C08:node:node_0076,85252,0.010509708007583461,5
selection,S04,terminal,1,S04_3d_unicyclic_small_C08:node:node_0057,46709,46704,same_edge_reverse_view,S01_flat_tree_small_C07:node:node_0023,7663,0.039566251325137705,5
fit,S05,terminal,1,S05_flat_branch_medium_C01:node:node_0005,48540,48532,same_edge_reverse_view,S09_flat_complex_C05:node:node_0065,160269,0.011658946940321045,5
fit,S05,junction,3,S05_flat_branch_medium_C01:node:node_0010,48602,48660,different_physical_edge,S07_flat_loop_rich_C02:node:node_0062,92719,0.006852066192225283,5
fit,S05,terminal,1,S05_flat_branch_medium_C01:node:node_0015,48616,48625,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0027,101194,0.005898718597255596,5
fit,S05,terminal,1,S05_flat_branch_medium_C01:node:node_0034,48950,48958,same_edge_reverse_view,S09_flat_complex_C05:node:node_0039,159897,0.012256682666512517,5
fit,S05,junction,3,S05_flat_branch_medium_C01:node:node_0047,49170,49210,different_physical_edge,S05_flat_branch_medium_C01:node:node_0059,49575,0.006780226654487796,5
fit,S05,terminal,1,S05_flat_branch_medium_C01:node:node_0050,49292,49306,same_edge_reverse_view,S07_flat_loop_rich_C01:node:node_0057,89090,0.005713653667891039,5
fit,S05,junction,3,S05_flat_branch_medium_C01:node:node_0059,49575,49660,different_physical_edge,S09_flat_complex_C01:node:node_0123,147115,0.00632260750286001,5
fit,S05,terminal,1,S05_flat_branch_medium_C01:node:node_0060,49722,49692,same_edge_reverse_view,S07_flat_loop_rich_C01:node:node_0057,89090,0.004018490153287131,5
fit,S05,junction,4,S05_flat_branch_medium_C01:node:node_0070,49882,50019,different_physical_edge,S08_3d_loop_rich_C01:node:node_0090,116792,0.06384092888233676,5
fit,S05,junction,3,S05_flat_branch_medium_C01:node:node_0071,49919,49952,different_physical_edge,S07_flat_loop_rich_C03:node:node_0028,95368,0.00728421582327837,5
fit,S05,terminal,1,S05_flat_branch_medium_C01:node:node_0087,50557,50571,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0039,101508,0.005929504826546715,5
fit,S05,terminal,1,S05_flat_branch_medium_C02:node:node_0000,50608,50594,same_edge_reverse_view,S09_flat_complex_C02:node:node_0064,149397,0.00806539089464072,5
fit,S05,terminal,1,S05_flat_branch_medium_C02:node:node_0010,50856,50828,same_edge_reverse_view,S09_flat_complex_C03:node:node_0025,151958,0.0059514633369721496,5
fit,S05,junction,3,S05_flat_branch_medium_C02:node:node_0023,51114,51142,different_physical_edge,S07_flat_loop_rich_C05:node:node_0057,101892,0.010724012737013467,5
fit,S05,junction,3,S05_flat_branch_medium_C02:node:node_0034,51313,51560,different_physical_edge,S07_flat_loop_rich_C01:node:node_0072,89702,0.01113969716332816,5
fit,S05,junction,3,S05_flat_branch_medium_C02:node:node_0043,51662,51692,different_physical_edge,S07_flat_loop_rich_C02:node:node_0021,91684,0.005015773775078827,5
fit,S05,terminal,1,S05_flat_branch_medium_C02:node:node_0062,52074,52084,same_edge_reverse_view,S09_flat_complex_C03:node:node_0044,152412,0.010375965294450463,5
fit,S05,terminal,1,S05_flat_branch_medium_C02:node:node_0071,52456,52428,same_edge_reverse_view,S03_flat_unicyclic_small_C06:node:node_0006,30969,0.0046616695676098266,5
fit,S05,junction,4,S05_flat_branch_medium_C02:node:node_0077,52362,52492,different_physical_edge,S07_flat_loop_rich_C05:node:node_0104,103035,0.02890893965794716,5
fit,S05,terminal,1,S05_flat_branch_medium_C02:node:node_0079,52642,52630,same_edge_reverse_view,S01_flat_tree_small_C03:node:node_0011,2614,0.008300985576114295,5
fit,S05,terminal,1,S05_flat_branch_medium_C02:node:node_0083,52599,52600,same_identity_distinct_observation,S05_flat_branch_medium_C04:node:node_0061,56925,0.0289460120341796,5
fit,S05,junction,3,S05_flat_branch_medium_C02:node:node_0094,52862,52882,different_physical_edge,S08_3d_loop_rich_C01:node:node_0032,115168,0.029399499441587797,5
fit,S05,terminal,1,S05_flat_branch_medium_C03:node:node_0006,53268,53238,same_edge_reverse_view,S09_flat_complex_C06:node:node_0153,166524,0.006506959265691715,5
fit,S05,terminal,1,S05_flat_branch_medium_C03:node:node_0009,53380,53370,same_edge_reverse_view,S09_flat_complex_C02:node:node_0081,149696,0.013591366044635303,5
fit,S05,junction,3,S05_flat_branch_medium_C03:node:node_0015,53457,53490,different_physical_edge,S05_flat_branch_medium_C03:node:node_0065,54625,0.00838579092782529,5
fit,S05,junction,3,S05_flat_branch_medium_C03:node:node_0026,53701,53752,different_physical_edge,S09_flat_complex_C01:node:node_0091,146055,0.006470236414610845,5
fit,S05,junction,4,S05_flat_branch_medium_C03:node:node_0036,53894,53984,different_physical_edge,S10_3d_complex_C06:node:node_0040,197544,0.015322046366162986,5
fit,S05,terminal,1,S05_flat_branch_medium_C03:node:node_0047,54369,54362,same_edge_reverse_view,S09_flat_complex_C04:node:node_0105,157848,0.006168148409725307,5
fit,S05,terminal,1,S05_flat_branch_medium_C03:node:node_0061,54493,54507,same_edge_reverse_view,S03_flat_unicyclic_small_C05:node:node_0026,29954,0.007583144526005807,5
fit,S05,junction,3,S05_flat_branch_medium_C03:node:node_0065,54625,54724,different_physical_edge,S07_flat_loop_rich_C01:node:node_0078,89802,0.006522713159935292,5
fit,S05,junction,3,S05_flat_branch_medium_C03:node:node_0079,54970,55001,different_physical_edge,S03_flat_unicyclic_small_C06:node:node_0044,31798,0.004869486495073903,5
fit,S05,terminal,1,S05_flat_branch_medium_C03:node:node_0089,55434,55412,same_edge_reverse_view,S07_flat_loop_rich_C01:node:node_0084,90263,0.009089429060791727,5
fit,S05,terminal,1,S05_flat_branch_medium_C03:node:node_0090,55311,55325,same_edge_reverse_view,S01_flat_tree_small_C03:node:node_0020,2897,0.005954705432672075,5
fit,S05,terminal,1,S05_flat_branch_medium_C04:node:node_0000,55488,55474,same_edge_reverse_view,S07_flat_loop_rich_C06:node:node_0093,105866,0.013051354464213334,5
fit,S05,junction,3,S05_flat_branch_medium_C04:node:node_0017,55932,55993,different_physical_edge,S07_flat_loop_rich_C03:node:node_0028,95368,0.00849287267619761,5
fit,S05,junction,3,S05_flat_branch_medium_C04:node:node_0023,56317,56262,different_physical_edge,S09_flat_complex_C03:node:node_0134,154292,0.0063487402960784745,5
fit,S05,terminal,1,S05_flat_branch_medium_C04:node:node_0032,56227,56241,same_edge_reverse_view,S07_flat_loop_rich_C04:node:node_0021,98148,0.0029632078626549213,5
fit,S05,terminal,1,S05_flat_branch_medium_C04:node:node_0037,56609,56596,same_edge_reverse_view,S03_flat_unicyclic_small_C02:node:node_0019,24764,0.004713439456741879,5
fit,S05,junction,3,S05_flat_branch_medium_C04:node:node_0043,56622,56724,different_physical_edge,S01_flat_tree_small_C02:node:node_0049,2150,0.021557943150808747,5
fit,S05,terminal,1,S05_flat_branch_medium_C04:node:node_0044,56688,56694,same_edge_reverse_view,S07_flat_loop_rich_C06:node:node_0080,105468,0.010620440150042307,5
fit,S05,junction,4,S05_flat_branch_medium_C04:node:node_0055,56737,56860,different_physical_edge,S07_flat_loop_rich_C05:node:node_0104,103035,0.01257741925969688,5
fit,S05,terminal,1,S05_flat_branch_medium_C04:node:node_0060,56943,56945,same_edge_reverse_view,S09_flat_complex_C05:node:node_0078,160671,0.0022592207283843677,2
fit,S05,terminal,1,S05_flat_branch_medium_C04:node:node_0061,56925,56931,same_edge_reverse_view,S05_flat_branch_medium_C02:node:node_0083,52599,0.0289460120341796,5
fit,S05,terminal,1,S05_flat_branch_medium_C04:node:node_0062,57044,57028,same_edge_reverse_view,S09_flat_complex_C02:node:node_0081,149696,0.00921708299088457,5
fit,S05,junction,3,S05_flat_branch_medium_C04:node:node_0068,57076,57106,different_physical_edge,S07_flat_loop_rich_C05:node:node_0057,101892,0.005892617489481486,5
fit,S05,junction,3,S05_flat_branch_medium_C04:node:node_0078,57331,57426,different_physical_edge,S09_flat_complex_C03:node:node_0152,154653,0.013969391607417501,5
fit,S05,terminal,1,S05_flat_branch_medium_C05:node:node_0005,57818,57788,same_edge_reverse_view,S03_flat_unicyclic_small_C03:node:node_0004,26212,0.006170027538627614,5
fit,S05,junction,3,S05_flat_branch_medium_C05:node:node_0009,57753,57939,different_physical_edge,S09_flat_complex_C06:node:node_0042,163932,0.00640831080176724,5
fit,S05,terminal,1,S05_flat_branch_medium_C05:node:node_0018,58144,58156,same_edge_reverse_view,S05_flat_branch_medium_C06:node:node_0051,61024,0.008173532815897454,5
fit,S05,junction,3,S05_flat_branch_medium_C05:node:node_0022,58122,58262,different_physical_edge,S07_flat_loop_rich_C03:node:node_0083,96638,0.006187188381818233,5
fit,S05,junction,3,S05_flat_branch_medium_C05:node:node_0028,58074,58354,different_physical_edge,S07_flat_loop_rich_C04:node:node_0060,98925,0.01611033581808759,5
fit,S05,junction,3,S05_flat_branch_medium_C05:node:node_0038,58524,58546,different_physical_edge,S09_flat_complex_C01:node:node_0156,147798,0.02584954976007848,5
fit,S05,junction,3,S05_flat_branch_medium_C05:node:node_0041,58592,58658,different_physical_edge,S09_flat_complex_C05:node:node_0038,159360,0.0037281499492421957,5
fit,S05,junction,3,S05_flat_branch_medium_C05:node:node_0059,58820,59006,different_physical_edge,S05_flat_branch_medium_C05:node:node_0062,58926,0.007353040314885674,5
fit,S05,junction,3,S05_flat_branch_medium_C05:node:node_0062,58926,59081,different_physical_edge,S03_flat_unicyclic_small_C03:node:node_0039,26992,0.0045561927849855745,5
fit,S05,terminal,1,S05_flat_branch_medium_C05:node:node_0069,59106,59113,same_edge_reverse_view,S07_flat_loop_rich_C02:node:node_0063,93041,0.0061725991290897675,5
fit,S05,terminal,1,S05_flat_branch_medium_C05:node:node_0074,59142,59154,same_edge_reverse_view,S03_flat_unicyclic_small_C01:node:node_0019,22995,0.005545985233759873,5
fit,S05,terminal,1,S05_flat_branch_medium_C05:node:node_0079,59314,59319,same_edge_reverse_view,S07_flat_loop_rich_C02:node:node_0076,93192,0.011333900489832177,5
fit,S05,terminal,1,S05_flat_branch_medium_C05:node:node_0085,59502,59516,same_edge_reverse_view,S07_flat_loop_rich_C05:node:node_0080,102478,0.005208078496360703,5
fit,S05,terminal,1,S05_flat_branch_medium_C06:node:node_0000,59562,59542,same_edge_reverse_view,S05_flat_branch_medium_C05:node:node_0005,57818,0.009272645354572681,5
fit,S05,terminal,1,S05_flat_branch_medium_C06:node:node_0003,59654,59628,same_edge_reverse_view,S01_flat_tree_small_C01:node:node_0038,803,0.011772010561493369,5
fit,S05,junction,3,S05_flat_branch_medium_C06:node:node_0005,59634,59713,different_physical_edge,S09_flat_complex_C04:node:node_0128,158220,0.010572419660924216,5
fit,S05,junction,3,S05_flat_branch_medium_C06:node:node_0011,59850,59876,different_physical_edge,S05_flat_branch_medium_C04:node:node_0078,57331,0.019909746937270018,5
fit,S05,junction,3,S05_flat_branch_medium_C06:node:node_0021,60148,60225,different_physical_edge,S03_flat_unicyclic_small_C04:node:node_0059,29306,0.007104315262475061,5
fit,S05,terminal,1,S05_flat_branch_medium_C06:node:node_0036,60660,60650,same_edge_reverse_view,S09_flat_complex_C03:node:node_0155,154824,0.016983274069806955,5
fit,S05,junction,3,S05_flat_branch_medium_C06:node:node_0045,60720,60820,different_physical_edge,S03_flat_unicyclic_small_C06:node:node_0032,31584,0.008820756039054013,5
fit,S05,terminal,1,S05_flat_branch_medium_C06:node:node_0051,61024,61006,same_edge_reverse_view,S05_flat_branch_medium_C05:node:node_0018,58144,0.008173532815897454,5
